,Topic,Word,P
0,0,"['ebt',",0.07538415
1,0,"'erick',_'thohir',",0.014262638
2,0,"'ramah',_'lingkung']",0.013668503
3,0,'ebt'],0.0131463045
4,0,"'bumn',",0.010793111
5,1,"'transisi',",0.06255892
6,1,"'hijau',",0.018529609
7,1,"['pln',",0.01399055
8,1,"'rp',",0.013922806
9,1,"'beli',_'listrik',",0.012722501
10,2,"['menteri',_'esdm',",0.022199258
11,2,"['plnid',_'pln',",0.0141404485
12,2,"'wujud',",0.010383229
13,2,'ebt'],0.010032353
14,2,"['menteri',",0.009541668
15,3,'ebt'],0.027490053
16,3,"'capai',_'target',",0.026125299
17,3,"'target',",0.019966152
18,3,"'baur',",0.017994728
19,3,"'panas',_'bumi',",0.015750827
20,4,"'menteri',_'esdm',",0.037927184
21,4,"['dukung',",0.023948774
22,4,"'proyek',",0.0221899
23,4,"'buka',_'peluang',",0.01652011
24,4,"'siap',",0.014705315
25,5,"'net',_'zero',",0.023509989
26,5,'pln'],0.019760458
27,5,"'ruu',",0.015145405
28,5,"'komitmen',",0.013984007
29,5,"['komisi',_'vii',",0.010245326
30,6,"'kurang',_'emisi',",0.015301411
31,6,"'plts',_'atap',",0.014733965
32,6,"'ekspor',",0.0141023025
33,6,"'kuat',",0.011802975
34,6,"'emisi',",0.0117979245
35,7,"'atur',",0.040317453
36,7,"'operasi',",0.039520245
37,7,"'iklim',",0.019619465
38,7,"'mudah',",0.019382237
39,7,"['cepat',",0.018839844
40,8,"'bangkit',_'listrik',",0.027424479
41,8,"'bangkit',",0.016705554
42,8,"'listrik',",0.015290695
43,8,"'ramah',_'lingkung',",0.01262494
44,8,'ebt'],0.011191824
